carana_rus;carana_en;carana_text_small;carana_text;carana_got;carana_index
Бава;Bava;Развитие, лечение, быстрая работа, ритуалы;"Очень благоприятная для позитивных действий (развитие, разработка чего-либо); для всего, что связано с расширением, увеличением (экспансией). Очень хороша для любых практик, касающихся здоровья. ";Индра;💠 Благоприятная
Балава;Balava;Ритуалы, обучение, ягьи;Очень благоприятна для разных дел и особенно для духовных (религиозных обрядов и церемоний, благотворительности). Хорошая для познания чего-либо, процесса обучения и работы с учениками.;Брахма;💠 Благоприятная
Каулава;Kaulava;Знакомства, свидания, помолвка;Хороша для отношений, дружбы, установления контактов (новых знакомств), свиданий, помолвок.;Митра;💠 Благоприятная
Тайтила;Taitila;Домоводство, строительство, действия для славы;Хорошо для отношений, для популярности. Хорошо для действий, связанных с защитой, недвижимым имуществом, строительством;Вишвакарман;💠 Благоприятная
Гара;Gara;Сельское хоз-во, домоводство, избавление от ядов;"Благоприятна для созидания, создания чего-то, что-то сеять, строить, создавать, для сельского хозяйства; оказания помощи, работы по дому.";Бхуми;💠 Благоприятная
Ваниджа;Vanija;Торговля, встречи, знакомство;Особенно благоприятна для всего, что связано с бизнесом, работой (торговлей, обмена), наслаждение комфортом и роскошью.;Лакшми;💠 Благоприятная
Вишти;Visthi;Война, боевые действия;"Не хорошая и не плохая карана, что-то среднее. В переводе — изнурительная, тяжелая, мучительная. Действия, которые будут происходить в нее, потребуют больше усилий, денег, времени и результат будет хуже ожидаемого и медленнее проявится, чем ожидается. Достаточно сложная карана, но не считается столь ужасной.
Хорошая для каких-то агрессивных, негативных действий (боевые действия, наказания, отравления, поджоги, разрушение препятствий, истребления и уничтожения врагов).";Яма;❗Неблагоприятная
Шакуни;Shakuni;Лечение, изготовление лекарств, с/хоз-во;Не благоприятна ни для плохого, ни для хорошего. Благоприятна для лечения, для процедур, для Джйотиш, для всевозможных магических действий.;Кали;❗Неблагоприятная
Чатушпада;Chatuspada;Государственные дела, поминание предков, поклонение божествам, уход за коровами;"Благоприятная для мистических, оккультных действий, для ритуалов с предками, умершими (для ухода за могилой); для политики.
Благоприятна для любых действий относительно Девов (установка изображения или фигурки Божеств, Пуджи для Божеств и т.д.)
Полезна для животноводства в особенности действий касательно коров.";Рудра;❗Неблагоприятная
Нага;Naga;Неудачи, обман, кражи;Благоприятна для покупки недвижимости, для агрессивных действий, где нужна сила и воля, для обмана, краж, захватывания чего-либо и для другой неблагоприятной деятельности.;Наги;❗Неблагоприятная
Кинстугхна;Kinstughna;Религиозная деятельность, развитие сиддх,;"Благоприятна для жертвоприношений, аскез (голоданий), религиозной деятельности.
Благоприятна для заключения брака, деятельности, связанной с любым развитием и расширением.
Для всего остального и хорошего не благоприятна.";Марута;❗Неблагоприятная