naksh_rus;naksh_en;naksh_small;naksh_shakti;naksh_descr;naksh_action_good;naksh_action_bad;naksh_ruler;naksh_ruler2;naksh_shakti_text;naksh_wish;naksh_simbol;naksh_got;naksh_body;naksh_tithi
Читра(блеск) ;Chitra;🍀  Мриду (мягкая) ;Пунья Чаяния Шакти — Сила накопления благочестивой кармы, заслуг ;Заключение брака, знакомство, зачатие детей, на­чало новых проектов, покупки, путешествия, а так­же выполнение торжественных ритуалов: открытие чего-либо, чествование и т.д.;Улучшения здоровья и тела, покупка новых вещей и ношение их, ремонт дома, дизайн дома, любые действия, связанные с ремёслами, творчество в целом, любой вид действий с механикой, хорошо для выступлений, благоприятно первый раз надевать драгоценные камни и ювелирные изделия, декорирование, благоприятны духовные практики, такие как визуализации, все действия связанные с противоположным полом, благоприятно собирание трав и изготовление лекарств, благоприятны все действия, требующие харизмы, элегантности и личного очарования.;Неблагоприятны прямые конфронтации, свадьбы, неблагоприятно для действий, требующих зрить в корень и расследований, потому что иллюзии сильны в это время.;Мангал ;Шани ; Во время тяжелых периодов, когда выходит много негативной кармы, энергия Читры помогает получить доступ к хорошей карме, к благословениям (подаркам судьбы).;Тваштар пожелал: «Могу ли я получить прекрасное потомство?» Получают прекрасное потомство. Тваштар — это форма Творца (архитектор Вселенной), обычно называемая Праджапати, с дополнительными особыми способностями в искусстве и магии. Поэтому Читра обладает великими творческими способностями, дарит великолепие, множественность и изобилие. ;Жемчужина (на змее) ;Тваштар (Вишвакарма) - божественный архитектор;лоб ;-
Свати;Swati;🚀 Чара (подвижная) ;Прадхвамса Шакти — Сила трансформации (изменений), способность рассеивать как ветер ;Путешествия, приобретение транспортных средств, начало лечения, начало ремонта, обучение, садо­водство.;"Хороший для деловых и торговых операций; Рекомендуемый для того, чтобы начать любое образовательное предприятие; Хорош для изучения в общем; Общественная деятельность и события; Контакт с общественностью; Финансовые операции; Все действия, которые требуют спокойного и гибкого подхода; Ключ здесь - дунуть с ветром; Уход и украшение; Купля Продажа вообще; Акции, где дипломатия требуется; Изучение Изобразительного искусства и Наук.";"Не хороший для перемещения; Жестокие или воинственные действия; Нежелательно реагировать на любой тип агресивного поведения в эту накшатру";Раху  ;Буддха; Свати помогает обновиться, переродиться, выйти на новый уровень (быстро изменить свою жизнь и себя), узнать что-то новое. Ветер перемен.;Вайю (Ветер): «Могу ли я выиграть свободу передвигаться по всем мирам?» Ветер свободно движется по всем мирам. Рожденным в Свати не нравится, когда их держат или «привязывают» к чему (кому) -либо. Им нравится путешествовать, куда и когда они захотят, получают свободу передвижения по всему миру.;Коралл, Росток ;Вайу - бог ветра;прана, зубы ;-
Вишакха(вилка);Vishakha;🔀 Мриду-тикшна (смешанная);Вьяпана Шакти — Сила достигать и проявлять скрытое, делать скрытое явным ;Заниматься рутинной деятельностью, повседневны­ми обязанностями, не следует начинать новые важ­ные дела.;"Напористые, воинственные действия; любая деятельность, требующая управленческих способностей; исполнение чего-то, что требует дискуссионного, аргументированного подхода; любые жесткие, суровые действия; действия, требующие умственной концентрации, сфокусированности; достижение целей; все типы церемоний, торжеств и празднований; церемонии по вручению наград; любой вид украшение себя; ухаживания и сексуальная активность; раскаяние, исполнение епитимьи; принятие решений.";"Неподходящий для путешествий; вступления в брак; инициации любого вида; деятельность, требующая такта и дипломатичности.
";Гуру  ;Шани ; Энергия полезна, чтобы разгадать тайну. Другим людям будет сложно обмануть Вишакху.;Индра и Агни: «Могу ли я получить великую славу среди Богов?» Приобретают большую славу среди своих сверстников. Вишакха – накшатра конкуренции, обладающая огненной и молниеподобной энергией и эффектами (здесь Индра — молния, а Агни — огонь). Рожденные в эту накшатру ищут власть и признание. Но они также обладают мудростью и проницательностью. ;Трумфальная арка ;Индра-Агни - бог молний и огня;руки (плечо, предплечье);-
Анурадха;Anuradha;🍀  Мриду (мягкая) ;Радхана Шакти — Сила поклонения, верования, духовных практик ;Заключение брака, знакомство, зачатие детей, на­чало новых проектов, покупки, путешествия, а так­же выполнение торжественных ритуалов: открытие чего-либо, чествование и т.д.;"Групповая деятельность; исследовательская и научная деятельность, а также оккультные предметы; медитация; изучение природы; благоприятно заниматься руководящей деятельностью, требующей незамедлительного принятия решений; путешествия; иммиграция и связанные с заграницей дела; целительство; времяпрепровождение с друзьями; финансы и бухгалтерия; спокойное размышление; тайная деятельность.";"Супружество; деятельность, связанная с открытым противостоянием; деятельность, связанная с инаугурацией и начинаниями; рутинная и обычная работа.";Шани  ;Шани ; Шакти поддерживает духовные устремления, дает большие духовные силы.;Митра пожелал: «Могу ли я считаться другом во всех мирах?» Рожденные под Анурадхой хотят быть другом для всех. Они эмоционально чувствительны к другим и ставят благосостояние других выше своего собственного. Митра значит «друг», он представляет собой сострадание. ;Лотос ;Митра - божественный друг, владыка сострадания;пищевой тракт, грудь ;-
Джйештха;Jyeshtha;💢 Тикшна (резкая) ;Арохана Шакти — Сила возвыситься над страхом смерти и опасности. Сила покорения подсознания ;Активные действия, наступление, встреча с противни­ком. Возможны обвинения и ссоры. В это время бла­гоприятно заниматься духовной практикой. Рекомен­дуется не начинать поездку, не совершать покупки.;"Суровая деятельность; проектирование; шпионаж; интриги; передача судебных решений; достижение баланса; занимать твердую позицию при решении важных вопросов; брать все под свой контроль; выражение чувства заботы в соответствии со своей авторитарной природой; административная деятельность; полицейская работа или контроль ситуации; оккультная деятельность; ответственность при исполнении обязанностей; деятельность имеющая отношение к заботе, уходу и защите.
Общение со старейшинами, особенно оказание помощи пожилым людям; забота о семейных делах; оккультные виды деятельности, требующие много покаяния; поддержание дискуссии по серьезным вопросам; грандиозное планирование; сдержанность из уважения к другим при исполнении обязанностей; развитие самодисциплины.";"Валяться в депрессии, обижаться и с трудом поддерживать отношения; неверность; деятельность из эгоизма или желания быть в центре внимания; использовать других; брак; исцеление, долгий отдых; рутинная деятельность; любые отношения, требующие много такта, чуткости и нежности; не хорошо для путешествий.";Буддха ;Гуру ; Помогает преодолеть любые фобии.;"Индра пожелал: «Могу ли я завоевать превосходство среди Богов?» Рожденные под Джйештхой стремятся быть лучшими и занимать наивысшее положение в обществе, но достигают этого сами, своими силами благодаря своим личностным качествам, а не полагаясь на других. Чаще всего они проявляют себя наилучшим образом именно тогда, когда все оставляют их наедине с собой. Индра – это царь ведических Богов, он завоевывает свое господство аскезами.
";Зонт, Старший брат ;Индра - бог грома;шея, пупок ;7
Мула(корень) ;Moola;💢 Тикшна (резкая) ;Бархана Шакти — Сила разрушения или уничтожения вещей (намерений) ;Активные действия, наступление, встреча с противни­ком. Возможны обвинения и ссоры. В это время бла­гоприятно заниматься духовной практикой. Рекомен­дуется не начинать поездку, не совершать покупки.;"Любая деятельность, вовлеченная в понимание корня вопроса; деятельность, связанная с соединением вместе знаний, людей и т.п.; пение, ораторское искусство и все виды деятельности, требующей силы и динамики; хороша для применения трав и лекарственных средств; подходит для посадки, озеленения и других видов сельскохозяйственной деятельности; применима для закладки фундамента дома, строительных работ; покупки и продажи домов, хороша для выражения сексуальности; благоприятна для приключений, хороша для удачной охоты; благоприятна для созерцания, наблюдения за собой и самоутверждения; благоприятна для размышлений о смерти и жестоких божествах, таких как Кали; хороша для просвещения в оккультных сферах и исследованиях в таких науках как астрология.";"Не в пользу любой деятельности, связанной с балансом, тактом, дипломатией; не хороша для инициации или начала, относящихся к материалистическим вопросам; не подходит для семейных церемоний; особенно неблагоприятна для заимствования денег или кредитования, финансовых операций в целом.";Кету  ;Шани ; Мула поможет что-то уничтожить, разрушить… особенно, если дурные намерения или нужно выкинуть вещи. Но если благоприятное намерение, то от энергии Мулы нужно уходить, т.к. иначе всё будет разрушено на корню.;"Праджапати пожелал: «Могу ли я найти источник потомства?» Приобретает источник потомства. Здесь Мула управляется Праджапати, Творцом, который также управляет Рохини. Это придает Муле более творческую энергию, что подчеркивается здесь. Мула — значит источник, корень. Она наделяет источником потомства или сильными творческими способностями как и Рохини. В оригинальных источниках Мула также управляется Ниррити. В негативном значении Мула, управляемая Ниррити, отнимает источник своего потомства или вызывает потерю первого ребенка. 
";Пучок корней ;Нирити (Алакшми) - богиня разрушения;ступни ;-
Пурва-Ашадха;Poorvashadha;⚡ Урга (ужасная) ;Варча Грахана Шакти — Сила воодушевлять и вдохновлять («дарить крылья») ;Следует соблюдать осторожность: появляется опас­ность отравлений, разрушений, несчастных случаев, обманов. Рекомендуется не совершать поездок, не брать деньги под залог или в долг. В эти дни успеш­ны: работа с огнем или оружием, ядами и химически­ми веществами, подрезание деревьев, соревнования, рискованные действия.;"Решение задач, которые требуют храбрости, сильной позиции; противостояние врагам и оппозиции, наряду с примирением и прощением; улаживание долговых дел; участие в войне; вдохновение и побуждение других к действиям; возобновить и вдохнуть новую жизнь в энергию, цели и действия на ментальном, духовном, эмоциональном или физическом уровнях; приключения, включающие исследования природы и спортивные виды деятельности; творческое новаторство; путешествия по воде, посещение водных мест и все виды деятельности, связанные с водой; парусный спорт и все другие водные виды спорта; разработка стратегий, усиливающих уверенность; поклонение женским энергиям богинь; хвастовство, щегольство; проявление мужества; хорошо все, что связано с лошадьми; актерская игра на сцене; украшение себя или своего окружения; посещение древних мест; приобретение духовных и оккультных знаний, инициации; благоприятно для сельскохозяйственной деятельности; хорошо для женитьбы/замужества, а также активизации сексуальной активности; все виды деятельности, связанные с соответствующими профессиями.";"Неблагоприятно все, что требует такта и дипломатичности; неподходящее время для спокойных размышлений; не время для завершения дел, если только это не обещает улучшения будущего; не особенно благоприятно для путешествий по земле.";Шукра  ;Буддха; C Пурва Ашадхой можно обсуждать какие-то благоприятные дела, которые вы хотите осуществить или если есть намерение, но вы не воодушевлены и не хватает силы, чтобы его реализовать, тогда, взаимодействуя с Пурва Ашадхой, «вырастают крылья» и будет легко делать то, что необходимо.;"Варуни (Апас Деви) пожелала: «Пусть обретем море, достигнем океана». Тот, кто делает соответствующее подношение богине Вод обретает море по своему желанию. Рожденный под Пурвашадхой ищет общения, связей подобно тому, как вода стремится влиться в океан. Это творческая, питающая и целительная накшатра. Варуни (супруга Варуны) управляет космическими водами, включая океаны. 
";Веер ;Апас  - богиня разрушения;правое бедро ;-
Уттара-Ашадха;Uttarashadha;🏡  Дхрува (неподвижная) ;Апрадхришья Шакти — Сила давать постоянную победу ;Рекомендуется совершать деятельность, рассчитан­ную на долговременный результат: заключать брак, начинать новый бизнес, сажать семена, переезжать в новый дом, давать клятвы, принимать обеты, за­кладывать фундамент дома, начинать строитель­ство и т.д.;Планирование новых начинаний, планирование всего, составление первоначальных планов любой деятельности, начало новых действий, закладка фундаментов. Все духовные, религиозные действия и ритуалы, наведение порядка в делах, действия, требующие большой проницательности и правильных суждений. Все дела, связанные с бизнесом, подписание контрактов, продвижение, авторитетные действия, артистические предприятия, заключение брака, сексуальные действия. Заселение в новое жилище, взаимодействие с авторитетами, общественные, политические или юридические дела. Это одна из лучших накшатр для начала любого вида деятельности.;Неблагоприятно для путешествий. Не хорошо для завершений, окончаний дел. Уттарашадха в общем хороша для любой деятельности кроме неправедной незаконной). Неэтичное, грубое, буйное, необдуманное, примитивное поведение здесь не позволяется.;Сурья  ;Раху ; Энергия, которую невозможно победить. Хорошо использовать, когда необходимо выиграть, победить, стать первым абсолютно в любом направлении жизни. Позволяет становиться самым лучшим и держаться на пьедестале победы всегда.;Вселенские Боги (Вишва Девы) пожелали: «Можем ли мы получить победу, которая никогда не будет утрачена?» Достигают победы, которая никогда не будет утрачена. Уттарашадха – накшатра конкуренции, заставляющая искать больших достижений, но в союзе с другими, в прочном партнерстве, в организациях и ассоциациях. Успех достигается благодаря широким связям. ;Бивень слона, Койка ;Вишведэвы (Брахман) - боги вселенной;левое бедро ;15
Шравана;Shravana;🚀 Чара (подвижная) ;Самханана Шакти — Сила объединяться в сообщества, создавать группы ;Путешествия, приобретение транспортных средств, начало лечения, начало ремонта, обучение, садо­водство.;"Религиозные ритуалы и представления; новые начинания; покупка недвижимости и переезд в новый дом; медицинские процедуры и применения лечебных средств; превентивные меры любых видов; слушать советы (слушание в общем); общественные взаимодействия и публичные действия; учеба, изучение языков и классических традиций; читать и писать; музыка, философия и медитация; хорошо для сексуальной активности; улаживание конфликтов; любая организационная деятельность; приготовление и принятие лечебных трав и лекарств; политика; покупка новой одежды, предметов и инструментов для дома или бизнеса; инициации в духовном обучении; получать и давать консультации; важные телефонные звонки; благоприятно для путешествий, особенно в направлениях этой накшатры; брать новое имя; гуманитарные действия; почитание Вишну и Сарасвати.";"Неблагоприятно для агрессивных, сомнительных или рискованных предприятий, таких, как судебные процессы, войны и т.д.; творчества, предусматривающего ручной труд; окончания дел, например сноса старых зданий; почитания жестоких, суровых божеств, таких, как Рудра; также считается неблагоприятным для свадебных церемоний и усыновления детей.";Чандра ;Чандра; Шакти позволяет решить любой конфликт, примирить и собрать вместе людей, легко войти в какую-либо группу людей. ;Вишну: «Могу ли я слышать, что люди хорошо говорят обо мне? Могу ли я не получать никакого плохого отношения?» Рожденные под Шраваной обеспокоены тем, что люди говорят о них, какая у них репутация в обществе. Они будут стремиться сохранять себя в доброй славе, слышать хорошие слова о себе и не доходить до конфликтов. Они чувствительны к мнениям других. Вишну — энергия поддержания. ;Стрела, Три следа ;"Вишну, Хари - хранитель мироздания, ""всеобъемлющий"" ";уши ;3
Дхаништха;Dhanishta;🚀 Чара (подвижная) ;Кьяпайтри Шакти — Сила давать славу, почёт и изобилие материальных ценностей ;Путешествия, приобретение транспортных средств, начало лечения, начало ремонта, обучение, садо­водство.;"Исполнение религиозных ритуалов; творческая деятельность в целом, особенно музыка и танцы. Групповая деятельность всех видов; мегапраздничные мероприятия с участием огромной толпы, такие как концерты, церемонии открытий и прочее. Все мероприятия с вовлечением пышности и великолепия; покупка движимого и недвижимого имущества; путешествия – короткие и дальние поездки; все виды деятельности, требующей проявления агрессии и активной позиции; предоставление займов и все виды финансовых операций; медитация, йога, садоводство, покупка новой одежды, драгоценных камней, ювелирных изделий; благоприятна для лечения заболеваний; для открытия образовательных учреждений; карьерная деятельность, связанная с достижением известности и признания; изучение и использование высокотехнологичного оборудования и вооружения.";"Неблагоприятна для сексуальной активности и брака; деятельность рутинная или ограничительного характера, такая как отказ от старой привычки; не очень хорошее время для формирования новых партнерских отношений, домашней деятельности, такой как уборка и прочее; отношения с людьми, требующими тактичного, разумного и нежного обращения.";Мангала;Буддха; Дхаништха способна помочь человеку достичь уважения в обществе и стать обеспеченным.;Васу пожелали: «Можем ли мы быть в центре вершины Богов?» Получают верховное положение среди своих сверстников. Васу господствуют над материальной и мирской роскошью Земли, которыми наделяет их накшатра. Достижения приходят за счет связей, союзов. ;Табла(барабан), Флейта ;Ашта-Васу (Васу) - боги Света и Изобилия;спина ;8
Шатабхиша;Shatabhishak;🚀 Чара (подвижная) ;Бхешайа Шакти — Сила лечить, исцелять и поддерживать ;Путешествия, приобретение транспортных средств, начало лечения, начало ремонта, обучение, садо­водство.;Хорошо для подписания бизнес-сделок и контрактов, земельных сделок и сделок, касающихся домов, недвижимости, образование и обучение, путешествия особенно водные), катание на велосипедах и мотоциклах, приобретение новых автомобилей, развлекательные мероприятия, медитация и йога, сексуальная активность, обучение астрономии и астрологии, медицина, терапия, омоложение и процедуры, направление на увеличение жизни, медиа события, технологическая деятельность, посещение морского побережья.;Нехорошо для начала чего-либо, брак, рождение, лечение бесплодия, дела, связанные с законом, судебные споры, действия гнева и негатива, не слишком хорошо для большой социальной активности, общения, связанного с работой, не очень хорошо для финансовых вопросов, для покупки новой одежды и ювелирных украшений, для домашней семейной) деятельности.;Раху  ;Шани ; В присутствии людей с Шатабхиша накшатрой возможно выздоравливать психологически и физически.;Варуна пожелал: «Могу ли я быть твердым и не колебаться?» Становятся твердыми, приобретают постоянство. Эта твердость также подразумевает освобождение от болезней и слабостей. Шатабхиша — это накшатра исцеления и энергии. Варуна управляет кармой и ее устроением. ;Круг, 100 целителей;Варуна - бог воды;челюсти, смех ;-
Пурва-Бхадра;Poorvabhadra;⚡ Урга (ужасная) ;Йаямана Удьямана Шакти — Сила развиваться и прогрессировать (эволюционировать) ;Следует соблюдать осторожность: появляется опас­ность отравлений, разрушений, несчастных случаев, обманов. Рекомендуется не совершать поездок, не брать деньги под залог или в долг. В эти дни успеш­ны: работа с огнем или оружием, ядами и химически­ми веществами, подрезание деревьев, соревнования, рискованные действия.;"Все опасные, сомнительные и рискованны действия; любая активность, связанная с механикой или технологией; оказание похоронных услуг; окончание вещей; изучение вопросов, связанных со смертью; сельскохозяйственные работы; любые действия, связанные с водой, например плавание на судне и пр.";В целом неблагоприятна для большинства видов деятельности, за исключением вышеуказанных. Особенно неблагоприятна для любых начинаний. Неблагоприятна для путешествий, секса, свадеб и ведения дел с правительством или высшими органами управления. Большая часть действий, совершенных под влиянием Пурвабхадрапады, часто приносят боль, беспокойство, сожаления, горе и большие трудности.;Гуру  ;Гуру ; Хорошо, когда учителя и наставники имеют Пурва Бхадрапада накшатру. Она позволяет ученикам быстро расти, глубоко усваивать знания.;Аджа Экапада: «Могу ли я обрести сияние и великолепие духовного знания?». Приобретает блеск и великолепие духовного знания. Пурва Бхадрапада обладает большим духовным потенциалом, таким же как Брихаспати, управляющий Пушьей. Накшатра может дать даже большую осознанность, способность к восприятию и духовный огонь – тот, который идет из Души. Она пробуждает стремление в жизни к высшему духовному потенциалу и силе. Аджа Экапада — это одноногий козел, символизирующий нашу бессмертную душу. ;Человек с 2 лицами, Меч ;Аджа экапада - посредник между небом и землёй;бока ;9
Уттара-Бхадра;Uttarabhadra;🏡  Дхрува (неподвижная) ;Варшольямана Шакти — Сила в обеспечении стабильности и возможности взращивать (принести дождь и растить растения) ;Рекомендуется совершать деятельность, рассчитан­ную на долговременный результат: заключать брак, начинать новый бизнес, сажать семена, переезжать в новый дом, давать клятвы, принимать обеты, за­кладывать фундамент дома, начинать строитель­ство и т.д.;"Тихая, умиротворяющая деятельность; исследования, медитация, развитие экстрасенсорных возможностей и исследование потустороннего мира.
Благоприятно давать обещания, обеты и обязательства, включая супружество; начинать строительные работы – дома, офиса и т.д.; финансовые сделки; начинать деятельность, которая требует поддержки других. Благоприятны начинания в сфере искусств; лечение болезней; сексуальная активность; вход в новый дом; выбор имени для детей и организаций; посадка растений, садоводство.";"Накшатра – неблагоприятна для путешествий, судебных процессов, решения вопросов с недоброжелателями, а также для действий, которые требуют быстрой стремительной реакции, для игры на бирже и азартных игр.
Неблагоприятно также давать деньги в долг, слишком высокая подвижность и большая физическая нагрузка.";Шани  ;Шукра ; Дает стабильность и уверенность в любом направлении жизни, обретается спокойствие.;Ахирбудхния пожелал: «Могу ли я найти самые основы?» Получает доступ к основам. Уттара Бхадрападра дает прочный фундамент в жизни, связывая нас с источниками жизнеспособности, Змеем, обитающим посреди моря — Ахирбудхнией. ;Близнецы, Смертный одр ;Ахирбудхнйа - дракон глубин;бока, подошвы ;11
Рэвати;Revati;🍀  Мриду (мягкая) ;Кшира Дьяпани Шакти — Сила воспитывать и защищать, питать и наполнять ;Заключение брака, знакомство, зачатие детей, на­чало новых проектов, покупки, путешествия, а так­же выполнение торжественных ритуалов: открытие чего-либо, чествование и т.д.;"Позитивный характер начала всех мероприятий; бизнес – деятельность и финансовые операции; все, связанное с обменом товаров; хорошо для брака и сексуальной активности; религиозные обряды; все виды путешествий; хорошо для работы с самоцветами (надевание их в первый раз и пр.); покупка машин, домов и других ценностей; творческая деятельность, такая как музыка, театр и т.д.; хороша для доброй, благотворительной и мягкой деятельности; обучение духовное, изучение оккультных наук; исцеление и лечение заболеваний; отдых и релаксация; хороша для такого досуга, как садоводство; хороша для завершения всего (нанесение последних штрихов на вещи).";"Последние две четверти этой накшатры следует избегать для начала всех видов дел. Избегать всех видов деятельности, требующих резкости и смелости. Не подходит для преодоления трудностей, препятствий, вражды и бедствий; не хороша для отрицательных, острых действий, таких как операции; не подходит для напряденной деятельности любого рода, например альпинизм.";Буддха ;Гуру ; Уверенность в обеспечении всех благ (духовных и материальных), в наполнении любовью и защитой.;Пушан пожелал: «Могу ли я стать властелином животных?» Ревати дает господство над домашним скотом, богатство урожая и плодородные поля. Рожденные под этой накшатрой любят хорошие вещи, предлагаемые жизнью, но пользуются ими так, чтобы находиться в гармонии с природой. Пушан – обладатель питающей энергией (пушти шакти) и провидец среди Богов Солнца. ;Рыба, барабан;Пушан (пастух коров), Солнце как кормилец и воспитатель;брюшная полость ;-