sun_date;sun_time;sun_text_en;sun_text_rus
17.08.2022;04:53;Sun in Leo;♌ Лев
17.09.2022;04:51;Sun in Virgo;♍ Дева
17.10.2022;16:52;Sun in Libra;♎ Весы
16.11.2022;16:45;Sun in Scorpio;♏ Скорпион
16.12.2022;07:28;Sun in Sagittarius;♐ Стрелец
14.01.2023;18:15;Sun in Capricorn;♑ Козерог
13.02.2023;07:14;Sun in Aquarius;♒ Водолей
15.03.2023;04:04;Sun in Pisces;♓ Рыбы
14.04.2023;12:28;Sun in Aries;♈ Овен
15.05.2023;09:14;Sun in Taurus;♉ Телец
15.06.2023;15:46;Sun in Gemini;♊ Близнецы
17.07.2023;02:36;Sun in Cancer;♋ Рак
17.08.2023;11:02;Sun in Leo;♌ Лев
17.09.2023;11:00;Sun in Virgo;♍ Дева
17.10.2023;22:59;Sun in Libra;♎ Весы
16.11.2023;22:48;Sun in Scorpio;♏ Скорпион
16.12.2023;13:28;Sun in Sagittarius;♐ Стрелец