yoga_rus;yoga_en;yoga_text;yoga_got;yoga_planet;yoga_index
 Вишкумбха;Vishkumbha;Сосуд с ядом;Яма;Сатурн;❗Неблагоприятная
 Прити;Preeti;Любовь, награда;Вишну;Меркурий;💠 Благоприятная
 Аюшман;Ayushman;Долговечная;Чандра;Кету;💠 Благоприятная
 Саубхагья;Saubhagya;Удача, благополучие;Брахма;Венера;💠 Благоприятная
 Шобхана;Shobhana;Замечательная, эффективная;Брихаспати;Солнце;💠 Благоприятная
 Атиганда;Atiganda;Клубок проблем;Чандра;Луна;❗Неблагоприятная
 Сукарма;Sukarma;Хорошая работа;Индра;Марс;💠 Благоприятная
 Дхрити;Dhriti;Сохраняющаяся, устойчивая;Джала;Раху;💠 Благоприятная
 Шула;Shoolam;Копье, смерть;Сарпа;Юпитер;❗Неблагоприятная
 Ганда;Ganda;Проблемы, препятствия;Агни;Шани;❗Неблагоприятная
 Вриддхи;Vriddhi;Рост, увеличение;Сурья;Меркурий;💠 Благоприятная
 Дхрува;Dhruva;Устойчивость, постоянство;Бхуми;Кету;💠 Благоприятная
 Вьягхата;Vyaghata;Смертельная;Вайю;Венера;❗Неблагоприятная
 Харшана;Harshana;Радость, процветание;Бхага;Солнце;💠 Благоприятная
 Ваджра;Vajra;Удар молнии, неприступный;Варуна;Луна;❗Неблагоприятная
 Сиддхи;Siddhi;Процветание, исполнение;Ганеша;Марс;💠 Благоприятная
 Вьятипата;Vyatipata;Бедствие, катастрофа;Рудра;Раху;🔥 Неблагоприятная
 Варияна;Variyana;Улучшающая, приносящая комфорт и удобство;Кубера;Юпитер;💠 Благоприятная
 Паригха;Parigha;Замок, закрытые ворота;Вишвакарман;Юпитер;❗Неблагоприятная
 Шива;Shiva;Благоприятный исход;Митра;Меркурий;💠 Благоприятная
 Сиддха;Siddha;Завершение, совершенство;Картикея;Кету;💠 Благоприятная
 Садхья;Sadhya;Реальный, достижимый;Савитри;Венера;💠 Благоприятная
 Шубха;Shubha;Удачливый, благой;Лакшми;Солнце;💠 Благоприятная
 Шукла;Shukla;Белый, чистый, яркий;Парвати;Луна;💠 Благоприятная
 Брахма;Brahma;Божественный источник, святой;Ашвини;Марс;💠 Благоприятная
 Индра;Indra;Предводитель, царь;Питри;Раху;💠 Благоприятная
 Вайдхрити;Vaidhriti;Задержка, остановка;Дити;Юпитер;🔥 Неблагоприятная